Number,Measurements at 3+ time points?,Author,N,Age,Sex,weeks,outcome_type,post,pre,sd,trained,periodized,linear,undulating,block,effect_size,standard_error
2,Yes,Kramer,14,20.3+/-1.9,M,15,squat,123.7,98.5,27.7,1,0,0,0,0,0.9097472924187727,0.39703454635727875
2,Yes,Kramer,13,20.3+/-1.9,M,15,squat,135.7,111.2,25.6,1,1,1,0,1,0.9570312499999994,0.4140770277068619
3,No,Stone,5,NA,M,12,squat,155.4,141.4,28.1,1,0,0,0,0,0.49822064056939497,0.6421924869807096
3,No,Stone,9,NA,M,12,squat,143.3,124.8,12,1,1,1,0,1,1.5416666666666679,0.5368823611864023
3,No,Stone,7,NA,M,12,squat,153.3,132.8,17,1,1,1,0,1,1.2058823529411764,0.5810751195946721
4,yes,O'Bryant,44,19.1+/-0.2,M,11,squat,131.6,100.8,2.7,0,0,0,0,0,11.407407407407405,0.8859026719018308
4,yes,O'Bryant,46,19.1+/-0.2,M,11,squat,141,101.8,3.3,0,1,1,0,1,11.87878787878788,0.9001980502778923
5,Yes,Herrick,10,24.1+/-5.6,F,15,squat,70.2,48,16,0,0,0,0,0,1.3875000000000002,0.4981253920952033
5,Yes,Herrick,10,20.7+/-2.2,F,15,squat,67.7,44.1,21.9,0,1,1,0,1,1.0776255707762559,0.4785727967297883
15,No,Souza,9,25+/-7.7,M,6,squat,164.5,140.8,23.2,0,0,0,0,0,1.0215517241379306,0.5012087590429422
15,No,Souza,9,26.2+/-7.3,M,6,squat,152.9,140.8,19.3,0,1,1,0,1,0.6269430051813468,0.482846235351317
15,No,Souza,8,23.8+/-4.3,M,6,squat,167.3,149.1,34.7,0,1,0,1,0,0.5244956772334298,0.5085240811479751
16,Yes,Hoffman,17,19.9+/-1.3,M,15,squat,194.8,161.8,16.6,1,0,0,0,0,1.9879518072289155,0.4192421802537202
16,Yes,Hoffman,17,19.5+/-1.1,M,15,squat,180.5,149.5,25,1,1,1,0,1,1.24,0.37451144645980017
16,Yes,Hoffman,17,19.6+/-0.9,M,15,squat,182.5,164.2,23.2,1,1,0,1,0,0.7887931034482764,0.35608563411661087
19,Yes,Kok,10,19.6+/-1.6,F,12,squat,134.7,99.9,16,0,1,1,1,1,2.174999999999999,0.5641503567312529
19,Yes,Kok,10,19.9+/-2.3,F,12,squat,133,94.2,21.2,0,1,1,1,0,1.830188679245283,0.5326722867213385
21,No,Peterson,7,21.6,M,9,squat,139.1,119.07,15.56,1,1,1,0,1,1.2872750642673523,0.5872781371683059
21,No,Peterson,7,22.1,M,9,squat,163.62,135.76,31.19,1,1,0,1,0,0.8932350112215458,0.5605440209956738
24,No,Hoffman,14,NA,M,12,squat,157.2,142.8,29.7,1,0,0,0,0,0.4848484848484841,0.383477463792572
24,No,Hoffman,14,NA,M,12,squat,158.7,157.2,24.7,1,1,0,1,0,0.06072874493927126,0.3780515833204582
26,No,Schiotz,8,21.2+/-1.8,M,10,squat,109.4,96.3,9.6,0,0,0,0,0,1.3645833333333344,0.5551488447257612
26,No,Schiotz,6,24.1+/-1.3,M,10,squat,99.8,88.5,9.9,0,1,1,0,0,1.141414141414141,0.6225895598968132
27,No,Baker,9,19+/-1.1,M,12,squat,143.61,115,21.21,1,0,0,0,0,1.3488920320603495,0.5222682823286828
27,No,Baker,8,20.2+/-1.2,M,12,squat,142.5,113.75,28.25,1,1,1,0,1,1.0176991150442478,0.5313812040558149
27,No,Baker,5,21.4+/-5,M,12,squat,143,107,30.33,1,1,0,1,1,1.1869436201780417,0.6858875694121215
30,No,Bartolomei,9,24.7+/-4.2,F,10,squat,96.25,85.6,32.9,1,1,0,0,1,0.3237082066869303,0.4744817934417291
30,No,Bartolomei,8,23.3+/-2.2,F,10,squat,119.4,94.4,19.7,1,1,1,1,1,1.2690355329949239,0.548020619593931
32,No,Franchini,6,18-35yo,M,8,squat,121,115,18,1,1,1,0,1,0.3333333333333333,0.5813458204571208
32,No,Franchini,7,18-35yo,M,8,squat,119,110,21,1,1,0,1,0,0.42857142857142855,0.5406237624061063
34,Yes,Apel,14,23+/-2.8,M,12,squat,122.1,79.5,15,1,1,1,0,1,2.8399999999999994,0.5356171340479262
34,Yes,Apel,14,22+/-1.9,M,12,squat,109.4,81.8,19,1,1,0,1,0,1.452631578947369,0.4248978554596371
47,No,Schoenfeld,9,23.9+/-3.2,M,8,squat,140.1,116.2,12.6,1,0,0,0,0,1.8968253968253963,0.5675959680491098
47,No,Schoenfeld,10,23.3+/-2.9,M,8,squat,150.7,125.5,20,1,1,0,1,0,1.2599999999999993,0.4895814538971017
51,No,Harris,13,NA,M,9,squat,145,132,7,1,0,0,0,0,1.8571428571428572,0.46922562212479274
51,No,Harris,16,NA,M,9,squat,143,138,11,1,0,0,0,0,0.45454545454545453,0.3580898012861075
51,No,Harris,13,NA,M,9,squat,163,146,14,1,1,0,1,0,1.2142857142857142,0.4268509421854238
53,NA,Harries,8,16.8,M,12,squat,171.2,127.9,26.4,1,1,1,0,0,1.6401515151515147,0.5779840231532629
53,NA,Harries,8,17.0,M,12,squat,177.8,123,23.5,1,1,0,1,0,2.331914893617022,0.6480216786273648
5,Yes,Herrick,10,24.1+/-5.6,F,15,bench,39.3,31.4,6.2,0,0,0,0,0,1.2741935483870965,0.4904989602117241
5,Yes,Herrick,10,20.7+/-2.2,F,15,bench,38.9,29.5,5,0,1,1,0,1,1.8799999999999997,0.5369916200463467
9,no,Ahmadizad,8,23.4+/-0.6,M,8,bench,62.9,58.7,9.2,0,0,0,0,0,0.45652173913043437,0.5064710041767778
9,no,Ahmadizad,8,23.4+/-0.6,M,8,bench,70.8,62.2,10.1,0,1,1,0,0,0.8514851485148509,0.5221657710362845
9,no,Ahmadizad,8,23.4+/-0.6,M,8,bench,71.2,61.6,8.9,0,1,0,1,0,1.0786516853932586,0.5351252615743847
10,Yes,Moraes,14,15.5+/-0.9,M,12,bench,48.3,40.6,6.1,0,0,0,0,0,1.2622950819672125,0.4138967451024516
10,Yes,Moraes,14,15.4+/-1.1,M,12,bench,58.3,43,4.5,0,1,0,1,0,3.3999999999999995,0.5910039883839314
12,Yes,Monteiro,9,26.6+/-2.2,M,12,bench,104.3,95.2,7,1,0,0,0,0,1.2999999999999992,0.5188127472091126
12,Yes,Monteiro,9,27.6+/-2.7,M,12,bench,102.9,95.7,10.3,1,1,1,0,1,0.6990291262135925,0.48558789452966006
12,Yes,Monteiro,9,28.1+/-2.9,M,12,bench,125.5,97.7,6.1,1,1,0,1,0,4.557377049180328,0.8939563369960712
14,Yes,Kraemer,10,18.6+/-1.3,F,32,bench,40.6,34.5,6.2,0,0,0,0,0,0.9838709677419357,0.473497679011351
14,Yes,Kraemer,9,19.2+/-1.1,F,32,bench,45.3,36.6,8.7,0,1,0,1,0,0.9999999999999996,0.49999999999999994
16,Yes,Hoffman,17,19.9+/-1.3,M,15,bench,136.8,125.9,12.2,1,0,0,0,0,0.8934426229508202,0.3597024857333128
16,Yes,Hoffman,17,19.5+/-1.1,M,15,bench,127.7,118.5,18.3,1,1,1,0,1,0.5027322404371586,0.3483731034388732
16,Yes,Hoffman,17,19.6+/-0.9,M,15,bench,134.3,124,25,1,1,0,1,0,0.4120000000000005,0.3466169270500895
18,Yes,Prestes,20,22.3+/-7.5,M,12,bench,97.4,82.4,4.74,1,1,1,0,1,3.1645569620253164,0.4745316212580425
18,Yes,Prestes,20,21.2+/-9.2,M,12,bench,111.7,89.3,4.04,1,1,0,1,0,5.544554455445546,0.6958994549268689
19,Yes,Kok,10,19.6+/-1.6,F,12,bench,48.7,40,7.9,0,1,1,1,1,1.1012658227848104,0.4799163055271697
19,Yes,Kok,10,19.9+/-2.3,F,12,bench,47.1,36.7,11.8,0,1,1,1,0,0.8813559322033897,0.4684225730905297
20,No,Hartmann,13,24.3+/-3.2,M,14,bench,109.42,96.54,20.91,1,1,1,0,1,0.6159732185557147,0.4014258961688438
20,No,Hartmann,14,25.1+/-4,M,14,bench,105.36,95.89,17.45,1,1,0,1,0,0.5426934097421203,0.38485888269453317
21,No,Peterson,7,21.6,M,9,bench,108.11,99.46,23.44,1,1,1,0,1,0.36902730375426646,0.5390527787211612
21,No,Peterson,7,22.1,M,9,bench,119.55,102.38,27.85,1,1,0,1,0,0.6165170556552962,0.5470731630332545
22,Yes,Buford,9,22.7+/-3.6,M/F,9,bench,162.78,131.11,52.07,0,1,1,0,1,0.6082197042442863,0.48218055656428027
22,Yes,Buford,9,23.9+/-5.1,M/F,9,bench,180.56,145,40.85,0,1,0,1,0,0.8705018359853122,0.4932255920202404
22,Yes,Buford,10,20.1+/-1.5,M/F,9,bench,181.5,154.5,74.18,0,1,0,1,0,0.36397950930169853,0.4509013496096321
24,No,Hoffman,14,NA,M,12,bench,123.9,121,16.7,1,0,0,0,0,0.17365269461077878,0.3786761540067106
24,No,Hoffman,14,NA,M,12,bench,114.5,115.9,18.2,1,1,0,1,0,-0.07692307692307723,0.3781042269326606
25,Yes,Rhea,10,21.2+/-3.1,M,12,bench,94.55,83.41,12.86,1,1,1,0,1,0.8662519440124418,0.4677176613755711
25,Yes,Rhea,10,20.2+/-2.4,M,12,bench,83.41,66.59,19.23,1,1,0,1,0,0.8746749869994797,0.4681093978142967
26,No,Schiotz,8,21.2+/-1.8,M,10,bench,85.7,80.9,7.6,0,0,0,0,0,0.6315789473684207,0.5123137456297838
26,No,Schiotz,6,24.1+/-1.3,M,10,bench,80.4,72.9,8.3,0,1,1,0,0,0.9036144578313252,0.6060981455315151
27,No,Baker,9,19+/-1.1,M,12,bench,94.44,84.16,11.99,1,0,0,0,0,0.8573811509591327,0.49258677853698496
27,No,Baker,8,20.2+/-1.2,M,12,bench,91.87,82.5,12.53,1,1,1,0,1,0.7478052673583404,0.5171802368942838
27,No,Baker,5,21.4+/-5,M,12,bench,90.5,78,11.09,1,1,0,1,1,1.127141568981064,0.6808247981869159
29,No,Bartolomei,10,26.2+/-6,M,15,bench,110,102.2,20.1,1,1,0,0,1,0.38805970149253716,0.45140309956629887
29,No,Bartolomei,14,24.2+/-3.1,M,15,bench,101,99,22.8,1,1,1,0,1,0.08771929824561403,0.3781461989402262
30,No,Bartolomei,9,24.7+/-4.2,F,10,bench,40,39.4,12.6,1,1,0,0,1,0.047619047619047734,0.4714713250882268
30,No,Bartolomei,8,23.3+/-2.2,F,10,bench,46.2,43.7,7.4,1,1,1,1,1,0.33783783783783783,0.5035540687414729
31,Yes,Tammam,11,24.18+/-2.23,?,13,bench,47.82,37.36,1.91,1,1,0,1,0,5.476439790575917,0.9292151230988048
31,Yes,Tammam,11,NA,?,13,bench,49.82,36.27,2,1,1,0,1,0,6.774999999999999,1.1068035979998683
32,No,Franchini,6,18-35yo,M,8,bench,108,96,11,1,1,1,0,1,1.0909090909090908,0.6188053895958223
32,No,Franchini,7,18-35yo,M,8,bench,104,95,14,1,1,0,1,0,0.6428571428571429,0.5481548694784574
33,No,de Lima,10,25.2+/-4.35,F,12,bench,39.7,33.8,3.33,0,1,1,0,1,1.7717717717717734,0.5277114555144528
33,No,de Lima,10,27.4+/-2.8,F,12,bench,37,31,6.34,0,1,0,1,0,0.9463722397476341,0.47158298358202433
34,Yes,Apel,14,23+/-2.8,M,12,bench,81.9,66.1,11.1,1,1,1,0,1,1.4234234234234244,0.42312895371333775
34,Yes,Apel,14,22+/-1.9,M,12,bench,73.8,62.2,12.3,1,1,0,1,0,0.9430894308943084,0.39842138664144966
35,No,Simão,10,29.8+/-1/9,M,12,bench,85.7,77.6,13.3,0,1,1,0,1,0.609022556390978,0.45746334482100864
35,No,Simão,11,30.2+/-1.1,M,12,bench,93.1,76.1,9.9,0,1,1,1,0,1.7171717171717171,0.4988322433046291
36,No,Miranda,10,26+/-6,M,12,bench,84,73,14.6,1,1,1,0,1,0.7534246575342466,0.46280797083079167
36,No,Miranda,10,26.5+/-5,M,12,bench,100,86,13.9,1,1,0,1,0,1.0071942446043165,0.4747220304126421
47,No,Schoenfeld,9,23.9+/-3.2,M,8,bench,118.5,110.1,8,1,0,0,0,0,1.0500000000000007,0.5028391613848531
47,No,Schoenfeld,10,23.3+/-2.9,M,8,bench,110.2,98.6,17.2,1,1,0,1,0,0.6744186046511633,0.45975103192650973
50,No,Bartolomei,10,23.7+/-2.9,M,15,bench,115,107,18.8,1,1,0,0,1,0.425531914893617,0.45224654256812813
50,No,Bartolomei,8,26+/-5.7,M,15,bench,98.75,97.5,17.5,1,1,1,1,1,0.07142857142857142,0.5001594133628899
53,NA,Harries,8,16.8,M,12,bench,97.5,87.9,16.9,1,1,1,0,0,0.5680473372781062,0.5099840002817719
53,NA,Harries,8,17.0,M,12,bench,95.7,88.9,22,1,1,0,1,0,0.30909090909090897,0.5029766765865815
54,NA,Spineti,10,29.8,M,12,bench,85.8,77.9,13.2,0,1,1,0,0,0.5984848484848478,0.4571155246178457
54,NA,Spineti,11,30.2,M,12,bench,93.2,76.2,9.8,0,1,0,1,0,1.7346938775510203,0.5002082032153529
55,NA,Spineti,13,29.2,M,12,bench,77.4,69.6,13.3,0,1,1,0,0,0.5864661654135347,0.40057512891742136
55,NA,Spineti,10,30.5,M,12,bench,84.3,69.6,13.2,0,1,0,1,0,1.113636363636364,0.48062942976926687
